step,error,Kp,Ki,Kd
0,0.0,1.0,0.1,0.015
1,0.0,1.05,0.1,0.015
2,0.0,1.1,0.1,0.015
3,0.0,1.1500000000000001,0.1,0.015
4,0.0,1.2000000000000002,0.1,0.015
5,0.0,1.2500000000000002,0.1,0.015
6,0.0,1.3000000000000003,0.1,0.015
7,0.0,1.3500000000000003,0.1,0.015
8,0.0,1.4000000000000004,0.1,0.015
9,0.0,1.4500000000000004,0.1,0.015
10,0.0,1.5000000000000004,0.1,0.015
11,0.0,1.5500000000000005,0.1,0.015
12,0.0,1.6000000000000005,0.1,0.015
13,0.0,1.6500000000000006,0.1,0.015
14,0.0,1.6500000000000006,0.1,0.009999999999999998
15,0.0,1.6000000000000005,0.1,0.009999999999999998
16,0.0,1.6500000000000006,0.1,0.009999999999999998
17,0.0,1.6500000000000006,0.1,0.015
18,0.0,1.7000000000000006,0.1,0.015
19,0.0,1.7500000000000007,0.1,0.015
20,0.0,1.8000000000000007,0.1,0.015
21,0.0,1.8500000000000008,0.1,0.015
22,0.0,1.8500000000000008,0.09000000000000001,0.015
23,0.0,1.9000000000000008,0.09000000000000001,0.015
24,0.0,1.9500000000000008,0.09000000000000001,0.015
25,0.0,2.000000000000001,0.09000000000000001,0.015
26,0.0,2.0500000000000007,0.09000000000000001,0.015
27,0.0,2.0500000000000007,0.08000000000000002,0.015
28,0.0,2.1000000000000005,0.08000000000000002,0.015
29,0.0,2.1500000000000004,0.08000000000000002,0.015
30,0.0,2.2,0.08000000000000002,0.015
31,0.0,2.25,0.08000000000000002,0.015
32,0.0,2.3,0.08000000000000002,0.015
33,0.0,2.3499999999999996,0.08000000000000002,0.015
34,0.0,2.3999999999999995,0.08000000000000002,0.015
35,0.0,2.4499999999999993,0.08000000000000002,0.015
36,0.0,2.499999999999999,0.08000000000000002,0.015
37,0.0,2.549999999999999,0.08000000000000002,0.015
38,0.0,2.5999999999999988,0.08000000000000002,0.015
39,0.0,2.6499999999999986,0.08000000000000002,0.015
40,0.0,2.6999999999999984,0.08000000000000002,0.015
41,0.0,2.6999999999999984,0.09000000000000001,0.015
42,0.0,2.6999999999999984,0.09000000000000001,0.009999999999999998
43,0.0,2.7499999999999982,0.09000000000000001,0.009999999999999998
44,0.0,2.799999999999998,0.09000000000000001,0.009999999999999998
45,0.0,2.849999999999998,0.09000000000000001,0.009999999999999998
46,0.0,2.8999999999999977,0.09000000000000001,0.009999999999999998
47,0.0,2.9499999999999975,0.09000000000000001,0.009999999999999998
48,0.0,2.9999999999999973,0.09000000000000001,0.009999999999999998
49,0.0,3.049999999999997,0.09000000000000001,0.009999999999999998
50,0.0,3.099999999999997,0.09000000000000001,0.009999999999999998
51,0.0,3.149999999999997,0.09000000000000001,0.009999999999999998
52,0.0,3.1999999999999966,0.09000000000000001,0.009999999999999998
53,0.0,3.2499999999999964,0.09000000000000001,0.009999999999999998
54,0.0,3.2999999999999963,0.09000000000000001,0.009999999999999998
55,0.0,3.349999999999996,0.09000000000000001,0.009999999999999998
56,0.0,3.349999999999996,0.08000000000000002,0.009999999999999998
